rank,nome,avaliacao
865,Detective Club,7.39
866,The Others,7.33
867,Web of Power,7.30
868,Smash Up: Science Fiction Double Feature,7.26
869,Luxor,7.20
870,Railroad Ink Challenge: Lush Green Edition,7.75
871,Werewords,7.14
872,Britannia,7.20
873,Age of Industry,7.36
874,Dungeons & Dragons: Castle Ravenloft Board Game,6.98
875,Zooloretto,6.82
876,Nightmare Productions,7.05
877,Coffee Roaster,7.42
878,The Adventures of Robin Hood,7.65
879,Warp's Edge,7.79
880,Lovecraft Letter,7.22
881,Tiny Epic Quest,7.00
882,Attika,6.99
883,Ascension: Storm of Souls,7.29
884,The LOOP,7.80
885,Legacy: The Testament of Duke de Crecy,7.14
886,Concept,6.79
887,The Castles of Burgundy: The Card Game,6.98
888,Babylonia,7.67
889,7 Wonders: Architects,7.06
890,Hawaii,7.12
891,Snow Tails,6.97
892,Istanbul: The Dice Game,7.17
893,DinoGenics,7.63
894,Unmatched: Jurassic Park – InGen vs Raptors,8.17
895,Merchants Cove,7.62
896,5-Minute Dungeon,6.97
897,Meeple Circus,7.07
898,Creature Comforts,7.63
899,Circadians: First Light,7.61
900,Fabled Fruit,7.00
901,Zombicide: Invader,7.83
902,Qwirkle,6.78
903,A War of Whispers,7.39
904,Tak,7.60
905,Roam,7.34
906,DC Comics Deck-Building Game,7.04
907,The Grimm Forest,7.11
908,Santa Monica,7.28
909,Maquis,7.44
910,Flick 'em Up!,6.89
911,Dominant Species: Marine,8.09
912,Lowlands,7.41
913,Kingsburg (Second Edition),7.44
914,Gold West,7.32
915,Ohanami,7.33
916,Clinic: Deluxe Edition,7.66
917,Black Sonata,7.50
918,Condottiere,6.87
919,Pax Renaissance: 2nd Edition,8.62
920,The City of Kings,7.61
921,Antike,7.09
922,Ascension: Return of the Fallen,7.28
923,The Speicherstadt,7.03
924,La Città,7.02
925,Regicide,7.52
926,Abomination: The Heir of Frankenstein,7.49
927,Discoveries: The Journals of Lewis & Clark,7.05
928,Herbaceous,7.07
929,Caylus 1303,7.51
930,Cat Lady,7.06
931,History of the World,7.12
932,Tidal Blades: Heroes of the Reef,7.63
933,Star Trek: Frontiers,7.85
934,Automobiles,7.23
935,Legendary Encounters: A Predator Deck Building Game,7.43
936,Mr. Jack Pocket,6.86
937,Manila,6.98
938,Riverboat,7.45
939,Marvel Dice Masters: Uncanny X-Men,7.17
940,Unlock!: Epic Adventures,7.79
941,Star Wars: The Queen's Gambit,7.55
942,Mint Works,6.97
943,Rivals for Catan,6.96
944,Majesty: For the Realm,6.96
945,Orchard: A 9 card solitaire game,7.42
946,World's Fair 1893,7.17
947,Black Fleet,7.00
948,Cottage Garden,6.87
949,Polis: Fight for the Hegemony,7.52
950,Valley of the Kings,7.03
951,Railroad Revolution,7.35
952,Empires of the Void II,7.50
953,Winner's Circle,6.99
954,Merchant of Venus (Second Edition),7.15
955,Smash Up: Pretty Pretty Smash Up,7.24
956,Irish Gauge,7.30
957,Caper: Europe,7.97
958,Zombicide Season 3: Rue Morgue,7.52
959,Islebound,7.18
960,Wildlands,7.29
961,Space Hulk (Fourth Edition),7.94
962,Fields of Green,7.15
963,Firenze,7.24
964,A Distant Plain,7.83
965,"Warhammer 40,000: Conquest",7.36
966,Bullet♥︎,7.72
967,Wiz-War (Eighth Edition),7.05
968,A Study in Emerald,7.20
969,Azul: Queen's Garden,7.59
970,CO₂,7.12
971,"Time of Crisis: The Roman Empire in Turmoil, 235-284 AD",7.62
972,Tiny Epic Dinosaurs,7.38
973,Falling Sky: The Gallic Revolt Against Caesar,7.85
974,Ticket to Ride: New York,6.96
